"question_number","question","option","is_correct","image_link"
1,"In Deutschland dürfen Menschen offen etwas gegen die Regierung sagen, weil …","hier Religionsfreiheit gilt.","No",
1,"In Deutschland dürfen Menschen offen etwas gegen die Regierung sagen, weil …","die Menschen Steuern zahlen.","No",
1,"In Deutschland dürfen Menschen offen etwas gegen die Regierung sagen, weil …","die Menschen das Wahlrecht haben.","No",
1,"In Deutschland dürfen Menschen offen etwas gegen die Regierung sagen, weil …","hier Meinungsfreiheit gilt.","Yes",
2,"In Deutschland können Eltern bis zum 14. Lebensjahr ihres Kindes entscheiden, ob es in der Schule am …","Geschichtsunterricht teilnimmt.","No",
2,"In Deutschland können Eltern bis zum 14. Lebensjahr ihres Kindes entscheiden, ob es in der Schule am …","Religionsunterricht teilnimmt.","Yes",
2,"In Deutschland können Eltern bis zum 14. Lebensjahr ihres Kindes entscheiden, ob es in der Schule am …","Politikunterricht teilnimmt.","No",
2,"In Deutschland können Eltern bis zum 14. Lebensjahr ihres Kindes entscheiden, ob es in der Schule am …","Sprachunterricht teilnimmt.","No",
3,"Deutschland ist ein Rechtsstaat. Was ist damit gemeint?","Alle Einwohner / Einwohnerinnen und der Staat müssen sich an die Gesetze halten.","Yes",
3,"Deutschland ist ein Rechtsstaat. Was ist damit gemeint?","Der Staat muss sich nicht an die Gesetze halten.","No",
3,"Deutschland ist ein Rechtsstaat. Was ist damit gemeint?","Nur Deutsche müssen die Gesetze befolgen.","No",
3,"Deutschland ist ein Rechtsstaat. Was ist damit gemeint?","Die Gerichte machen die Gesetze.","No",
4,"Welches Recht gehört zu den Grundrechten in Deutschland?","Waffenbesitz","No",
4,"Welches Recht gehört zu den Grundrechten in Deutschland?","Faustrecht","No",
4,"Welches Recht gehört zu den Grundrechten in Deutschland?","Meinungsfreiheit","Yes",
4,"Welches Recht gehört zu den Grundrechten in Deutschland?","Selbstjustiz","No",
5,"Wahlen in Deutschland sind frei. Was bedeutet das?","Man darf Geld annehmen, wenn man dafür einen bestimmten Kandidaten / eine bestimmte Kandidatin wählt.","No",
5,"Wahlen in Deutschland sind frei. Was bedeutet das?","Der Wähler darf bei der Wahl weder beeinflusst noch zu einer bestimmten Stimmabgabe gezwungen werden und keine Nachteile durch die Wahl haben.","Yes",
5,"Wahlen in Deutschland sind frei. Was bedeutet das?","Nur Personen, die noch nie im Gefängnis waren, dürfen wählen.","No",
5,"Wahlen in Deutschland sind frei. Was bedeutet das?","Alle wahlberechtigten Personen müssen wählen.","No",
6,"Wie heißt die deutsche Verfassung?","Volksgesetz","No",
6,"Wie heißt die deutsche Verfassung?","Bundesgesetz","No",
6,"Wie heißt die deutsche Verfassung?","Deutsches Gesetz","No",
6,"Wie heißt die deutsche Verfassung?","Grundgesetz","Yes",
7,"Welches Recht gehört zu den Grundrechten, die nach der deutschen Verfassung garantiert werden? Das Recht auf …","Glaubens- und Gewissensfreiheit","Yes",
7,"Welches Recht gehört zu den Grundrechten, die nach der deutschen Verfassung garantiert werden? Das Recht auf …","Unterhaltung","No",
7,"Welches Recht gehört zu den Grundrechten, die nach der deutschen Verfassung garantiert werden? Das Recht auf …","Arbeit","No",
7,"Welches Recht gehört zu den Grundrechten, die nach der deutschen Verfassung garantiert werden? Das Recht auf …","Wohnung","No",
8,"Was steht nicht im Grundgesetz von Deutschland?","Die Würde des Menschen ist unantastbar.","No",
8,"Was steht nicht im Grundgesetz von Deutschland?","Alle sollen gleich viel Geld haben.","Yes",
8,"Was steht nicht im Grundgesetz von Deutschland?","Jeder Mensch darf seine Meinung sagen.","No",
8,"Was steht nicht im Grundgesetz von Deutschland?","Alle sind vor dem Gesetz gleich.","No",
9,"Welches Grundrecht gilt in Deutschland nur für Ausländer / Ausländerinnen? Das Grundrecht auf …","Schutz der Familie","No",
9,"Welches Grundrecht gilt in Deutschland nur für Ausländer / Ausländerinnen? Das Grundrecht auf …","Menschenwürde","No",
9,"Welches Grundrecht gilt in Deutschland nur für Ausländer / Ausländerinnen? Das Grundrecht auf …","Asyl","Yes",
9,"Welches Grundrecht gilt in Deutschland nur für Ausländer / Ausländerinnen? Das Grundrecht auf …","Meinungsfreiheit","No",
10,"Was ist mit dem deutschen Grundgesetz vereinbar?","die Prügelstrafe","No",
